RPM	CT0	CP0
1500	0.14000	0.14800
1900	0.14062	0.14777
2300	0.14123	0.14754
2700	0.14185	0.14731
3100	0.14246	0.14708
3500	0.14308	0.14685
3900	0.14369	0.14662
4300	0.14431	0.14638
4700	0.14492	0.14615
5100	0.14554	0.14592
5500	0.14615	0.14569
5900	0.14677	0.14546
6300	0.14738	0.14523
6700	0.14800	0.14500
7100	0.14862	0.14477
7500	0.14924	0.14454
7900	0.14986	0.14431
8300	0.15048	0.14408
8700	0.15110	0.14385
9100	0.15172	0.14362
9500	0.15234	0.14339
9900	0.15296	0.14316
10300	0.15358	0.14293
10700	0.15420	0.14270
11100	0.15482	0.14247
11500	0.15544	0.14224
11900	0.15606	0.14201
12300	0.15668	0.14178
12700	0.15730	0.14155
13100	0.15792	0.14132
13500	0.15854	0.14109
13900	0.15916	0.14086
