RPM	CT0	CP0
1500	0.06000	0.04000
2100	0.06167	0.03973
2700	0.06333	0.03947
3300	0.06500	0.03920
3900	0.06667	0.03893
4500	0.06833	0.03867
5100	0.07000	0.03840
5700	0.07167	0.03813
6300	0.07333	0.03787
6900	0.07500	0.03760
7500	0.07667	0.03733
8100	0.07833	0.03707
8700	0.08000	0.03680
9300	0.08167	0.03653
9900	0.08333	0.03627
10500	0.08500	0.03600
11100	0.08667	0.03573
11700	0.08834	0.03546
12300	0.09001	0.03519
12900	0.09168	0.03492
13500	0.09335	0.03465
14100	0.09502	0.03438
14700	0.09669	0.03411
