RPM	CT0	CP0
1500	0.11500	0.09800
1900	0.11571	0.09729
2300	0.11643	0.09657
2700	0.11714	0.09586
3100	0.11786	0.09514
3500	0.11857	0.09443
3900	0.11929	0.09371
4300	0.12000	0.09300
4700	0.12071	0.09229
5100	0.12143	0.09157
5500	0.12214	0.09086
5900	0.12286	0.09014
6300	0.12357	0.08943
6700	0.12429	0.08871
7100	0.12500	0.08800
7500	0.12571	0.08729
7900	0.12642	0.08658
8300	0.12713	0.08587
8700	0.12784	0.08516
9100	0.12855	0.08445
9500	0.12926	0.08374
9900	0.12997	0.08303
10300	0.13068	0.08232
10700	0.13139	0.08161
11100	0.13210	0.08090
11500	0.13281	0.08019
11900	0.13352	0.07948
12300	0.13423	0.07877
12700	0.13494	0.07806
13100	0.13565	0.07735
13500	0.13636	0.07664
13900	0.13707	0.07593
