RPM	CT0	CP0
2100	0.15000	0.10500
2400	0.15047	0.10424
2700	0.15094	0.10347
3000	0.15141	0.10271
3300	0.15188	0.10194
3600	0.15235	0.10118
3900	0.15282	0.10041
4200	0.15329	0.09965
4500	0.15376	0.09888
4800	0.15424	0.09812
5100	0.15471	0.09735
5400	0.15518	0.09659
5700	0.15565	0.09582
6000	0.15612	0.09506
6300	0.15659	0.09429
6600	0.15706	0.09353
6900	0.15753	0.09276
7200	0.15800	0.09200
7500	0.15847	0.09124
7800	0.15894	0.09048
8100	0.15941	0.08972
8400	0.15988	0.08896
8700	0.16035	0.08820
9000	0.16082	0.08744
9300	0.16129	0.08668
9600	0.16176	0.08592
9900	0.16223	0.08516
10200	0.16270	0.08440
10500	0.16317	0.08364
10800	0.16364	0.08288
11100	0.16411	0.08212
11400	0.16458	0.08136
11700	0.16505	0.08060
12000	0.16552	0.07984
