RPM	CT0	CP0
1500	0.08500	0.05000
2000	0.08669	0.04969
2500	0.08838	0.04938
3000	0.09006	0.04906
3500	0.09175	0.04875
4000	0.09344	0.04844
4500	0.09513	0.04813
5000	0.09681	0.04781
5500	0.09850	0.04750
6000	0.10019	0.04719
6500	0.10188	0.04688
7000	0.10356	0.04656
7500	0.10525	0.04625
8000	0.10694	0.04594
8500	0.10862	0.04562
9000	0.11031	0.04531
9500	0.11200	0.04500
10000	0.11369	0.04469
10500	0.11538	0.04438
11000	0.11707	0.04407
11500	0.11876	0.04376
12000	0.12045	0.04345
12500	0.12214	0.04314
13000	0.12383	0.04283
13500	0.12552	0.04252
14000	0.12721	0.04221
