RPM	CT0	CP0
2000	0.14000	0.08800
2500	0.14233	0.08933
3000	0.14467	0.09067
3500	0.14700	0.09200
4000	0.14933	0.09333
4500	0.15167	0.09467
5000	0.15400	0.09600
5500	0.15633	0.09733
6000	0.15867	0.09867
6500	0.16100	0.10000
7000	0.16333	0.10133
7500	0.16567	0.10267
8000	0.16800	0.10400
8500	0.17033	0.10533
9000	0.17267	0.10667
9500	0.17500	0.10800
10000	0.17733	0.10933
10500	0.17966	0.11066
11000	0.18199	0.11199
11500	0.18432	0.11332
12000	0.18665	0.11465
12500	0.18898	0.11598
13000	0.19131	0.11731
13500	0.19364	0.11864
14000	0.19597	0.11997
