# Propeller mass database - 2-blade fixed-pitch electric props
# Values are representative of APC Electric "E", Thin-Electric, SlowFly, and
# multirotor series, cross-referenced with APC published specifications and
# hobby-vendor listings. These are approximations suitable for conceptual
# sizing; replace with measured or updated vendor values before detailed design.
#
# Scaling trend across this dataset is close to m ~ D^2.5, with a weak
# positive dependence on pitch. See mass_model.py for the power-law fit.
#
# -----------------------------------------------------------------------------
# Data provenance / reference links:
#   APC Propellers - "Performance Data" index
#     https://www.apcprop.com/technical-information/performance-data/
#   APC Propellers - Electric E series catalog
#     https://www.apcprop.com/product-category/propellers/multi-rotor-mr-series/
#   APC Propellers - Slow Fly series
#     https://www.apcprop.com/product-category/propellers/slow-flyer-sf-series/
#   Thin Electric data (mass listings):
#     https://www.apcprop.com/product-category/propellers/thin-electric-e-series/
#   Hobby vendor listings for mass cross-reference:
#     https://www.getfpv.com/propellers.html
#     https://hobbyking.com/en_us/propellers.html
#     https://www.readymaderc.com/products/electric-propellers
#   Typical APC mass scaling discussion (m ~ D^2.5):
#     https://www.apcprop.com/technical-information/file-downloads/
# -----------------------------------------------------------------------------
#
# Columns:
#   diameter_in : propeller diameter, inches
#   pitch_in    : geometric pitch, inches
#   mass_g      : published or estimated mass of the unmounted propeller, grams
#   blades      : blade count
#   series      : APC product family (for bookkeeping)
#
diameter_in,pitch_in,mass_g,blades,series
4.1,4.1,3.0,2,multirotor
4.2,2.0,4.0,2,slow_fly
4.75,4.75,4.5,2,multirotor
5.0,3.0,6.0,2,slow_fly
5.25,4.5,7.5,2,electric_e
5.5,4.5,7.5,2,electric_e
6.0,4.0,10.0,2,electric_e
6.0,5.5,10.5,2,electric_e
7.0,4.0,14.0,2,electric_e
7.0,5.0,15.0,2,electric_e
7.0,6.0,16.0,2,electric_e
8.0,3.8,14.0,2,slow_fly
8.0,4.0,19.0,2,electric_e
8.0,6.0,20.0,2,electric_e
9.0,4.5,23.0,2,electric_e
9.0,6.0,25.0,2,electric_e
9.0,7.5,26.0,2,electric_e
10.0,5.0,29.0,2,electric_e
10.0,7.0,31.0,2,electric_e
11.0,5.5,37.0,2,electric_e
11.0,7.0,38.0,2,electric_e
11.0,8.0,39.0,2,electric_e
12.0,6.0,45.0,2,electric_e
12.0,8.0,47.0,2,electric_e
13.0,6.5,62.0,2,electric_e
14.0,7.0,83.0,2,electric_e
15.0,8.0,103.0,2,electric_e
16.0,8.0,138.0,2,electric_e
