flow5 v7.54

 Calculated polar for: Epler E423

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000

  alpha     CL        CD        Cm
 ------- -------- --------- ---------
 -24.000  -0.8683   0.44453    0.2260
 -23.000  -0.8146   0.40204    0.1956
 -22.000  -0.7408   0.35770    0.1540
 -21.000  -0.6433   0.31359    0.1022
 -20.000  -0.5259   0.27340    0.0473
 -19.000  -0.4014   0.24008   -0.0010
 -18.000  -0.2831   0.21364   -0.0381
 -17.000  -0.1779   0.19182   -0.0651
 -16.000  -0.0865   0.17228   -0.0856
 -15.000  -0.0015   0.15377   -0.1031
 -14.000   0.0908   0.13623   -0.1214
 -13.000   0.1887   0.12106   -0.1402
 -12.000   0.2532   0.11009   -0.1510
 -11.000   0.2806   0.10103   -0.1534
 -10.000   0.2974   0.09133   -0.1548
  -9.000   0.2996   0.08246   -0.1567
  -8.000   0.1893   0.02277   -0.2083
  -7.000   0.3342   0.01434   -0.2353
  -6.000   0.4487   0.01219   -0.2370
  -5.000   0.5568   0.01106   -0.2367
  -4.000   0.6656   0.01039   -0.2367
  -3.000   0.7754   0.00991   -0.2365
  -2.000   0.8845   0.00953   -0.2360
  -1.000   0.9920   0.00931   -0.2352
   0.000   1.0991   0.00935   -0.2342
   1.000   1.2038   0.00956   -0.2328
   2.000   1.3043   0.00974   -0.2312
   3.000   1.4011   0.01002   -0.2293
   4.000   1.4954   0.01056   -0.2263
   5.000   1.5917   0.01049   -0.2233
   6.000   1.6793   0.01112   -0.2193
   7.000   1.7607   0.01205   -0.2142
   8.000   1.8395   0.01311   -0.2089
   9.000   1.9118   0.01454   -0.2031
  10.000   1.9720   0.01674   -0.1966
  11.000   2.0137   0.02033   -0.1895
  12.000   2.0290   0.02619   -0.1808
  13.000   2.0124   0.03522   -0.1710
  14.000   1.9701   0.04763   -0.1632
  15.000   1.9143   0.06236   -0.1602
  16.000   1.8494   0.07841   -0.1635
  17.000   1.7665   0.09721   -0.1751
  18.000   1.6522   0.12217   -0.1951
  19.000   1.5020   0.15726   -0.2186
  20.000   1.3320   0.20523   -0.2374
  21.000   1.1754   0.26416   -0.2468
  22.000   1.0607   0.32669   -0.2501
  23.000   0.9942   0.38530   -0.2529
  24.000   0.9652   0.43697   -0.2578
  25.000   0.9596   0.48258   -0.2647
  26.000   0.9668   0.52420   -0.2726
  27.000   0.9802   0.56344   -0.2811
  28.000   0.9962   0.60137   -0.2897
