flow5 v7.54

 Calculated polar for: S1210

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000

  alpha     CL        CD        Cm
 ------- -------- --------- ---------
 -24.000  -0.8778   0.43969    0.2293
 -23.000  -0.8340   0.39695    0.2019
 -22.000  -0.7769   0.35219    0.1648
 -21.000  -0.7045   0.30758    0.1192
 -20.000  -0.6205   0.26710    0.0712
 -19.000  -0.5349   0.23423    0.0293
 -18.000  -0.4570   0.20970   -0.0020
 -17.000  -0.3890   0.19209   -0.0233
 -16.000  -0.3277   0.17869   -0.0372
 -15.000  -0.3044   0.15647   -0.0505
 -14.000  -0.3566   0.11800   -0.0698
 -13.000  -0.4106   0.08516   -0.0929
 -12.000  -0.4710   0.04287   -0.1377
 -11.000  -0.3215   0.01874   -0.1905
 -10.000  -0.1391   0.01273   -0.2230
  -9.000   0.0298   0.00986   -0.2402
  -8.000   0.1732   0.00848   -0.2486
  -7.000   0.2907   0.00803   -0.2505
  -6.000   0.4082   0.00785   -0.2519
  -5.000   0.5302   0.00772   -0.2541
  -4.000   0.6530   0.00759   -0.2566
  -3.000   0.7762   0.00748   -0.2589
  -2.000   0.8989   0.00712   -0.2620
  -1.000   1.0191   0.00699   -0.2633
   0.000   1.1341   0.00727   -0.2633
   1.000   1.2477   0.00753   -0.2632
   2.000   1.3600   0.00783   -0.2628
   3.000   1.4703   0.00826   -0.2619
   4.000   1.5765   0.00900   -0.2601
   5.000   1.6750   0.01018   -0.2571
   6.000   1.7679   0.01165   -0.2533
   7.000   1.8593   0.01308   -0.2491
   8.000   1.9507   0.01423   -0.2453
   9.000   2.0323   0.01547   -0.2395
  10.000   2.0989   0.01720   -0.2311
  11.000   2.1476   0.01967   -0.2206
  12.000   2.1710   0.02358   -0.2079
  13.000   2.1705   0.02960   -0.1951
  14.000   2.1518   0.03819   -0.1857
  15.000   2.1123   0.05052   -0.1824
  16.000   2.0420   0.06854   -0.1870
  17.000   1.9303   0.09355   -0.1998
  18.000   1.7739   0.12675   -0.2200
  19.000   1.5806   0.17007   -0.2423
  20.000   1.3751   0.22293   -0.2577
  21.000   1.1947   0.28162   -0.2621
  22.000   1.0671   0.34182   -0.2606
  23.000   0.9957   0.39751   -0.2598
  24.000   0.9661   0.44629   -0.2623
  25.000   0.9610   0.48959   -0.2675
  26.000   0.9687   0.52954   -0.2744
  27.000   0.9823   0.56774   -0.2821
  28.000   0.9981   0.60514   -0.2902
