flap_span_fraction,flap_chord_fraction,flap_deflection_deg,flap_end_y_m,flap_area_m2,flap_area_ratio,blown_flap_area_m2,blown_clean_area_m2,actual_veff_mps,equivalent_reference_clmax,equivalent_vstall_mps,low_speed_lift_margin,clean_clmax_unblown,clean_clmax_blown,flapped_clmax_unblown,flapped_clmax_blown,slot_gain,prop_drop_bonus,score
0.6,0.22,40.0,0.6,0.42,0.6,0.234696,0.1564640000000001,14.622,16.65696957405361,2.620265370303596,1.3303944013094742,1.9269635090906871,1.9492445811012,2.1627475137412735,2.214685558295313,1.0990000000000002,1.03,2.744265370303596
0.6,0.25,40.0,0.6,0.42,0.6,0.234696,0.1564640000000001,14.622,16.60840957073982,2.624093166801903,1.3236006109175955,1.9269635090906871,1.9492445811012,2.1335624517848037,2.2055712834195593,1.10575,1.03,2.7480931668019033
0.4,0.22,40.0,0.4,0.27999999999999997,0.39999999999999997,0.13869800000000002,0.2524620000000001,14.622,16.155712213336315,2.660603874937473,1.2602659579670354,1.9269635090906871,1.9492445811012,2.1627475137412735,2.214685558295313,1.0990000000000002,1.03,2.7486038749374733
0.55,0.22,40.0,0.55,0.385,0.55,0.20006000000000002,0.19110000000000008,14.622,16.481341262706383,2.634189397735612,1.3058231110963643,1.9269635090906871,1.9492445811012,2.1627475137412735,2.214685558295313,1.0990000000000002,1.03,2.7491893977356123
0.45,0.22,40.0,0.45,0.315,0.45,0.156464,0.23469600000000013,14.622,16.25154014922145,2.652748092241545,1.273672771510336,1.9269635090906871,1.9492445811012,2.1627475137412735,2.214685558295313,1.0990000000000002,1.03,2.749748092241545
0.4,0.25,40.0,0.4,0.27999999999999997,0.39999999999999997,0.13869800000000002,0.2524620000000001,14.622,16.12568922007675,2.6630794946036818,1.2560655891609578,1.9269635090906871,1.9492445811012,2.1335624517848037,2.2055712834195593,1.10575,1.03,2.751079494603682
0.65,0.22,40.0,0.65,0.45499999999999996,0.65,0.234696,0.1564640000000001,14.622,16.668758774286136,2.6193385977270878,1.332043770127473,1.9269635090906871,1.9492445811012,2.1627475137412735,2.214685558295313,1.0990000000000002,1.03,2.7523385977270878
0.45,0.25,40.0,0.45,0.315,0.45,0.156464,0.23469600000000013,14.622,16.217707560581104,2.655513667330621,1.2689394210170932,1.9269635090906871,1.9492445811012,2.1335624517848037,2.2055712834195593,1.10575,1.03,2.752513667330621
0.55,0.25,40.0,0.55,0.385,0.55,0.20006000000000002,0.19110000000000008,14.622,16.43882266127532,2.6375938301055637,1.299874543424079,1.9269635090906871,1.9492445811012,2.1335624517848037,2.2055712834195593,1.10575,1.03,2.752593830105564
0.35,0.22,40.0,0.35,0.24499999999999997,0.35,0.10369799999999998,0.2874620000000001,14.622,15.97836206816169,2.6753286747007663,1.2354537744813818,1.9269635090906871,1.9492445811012,2.1627475137412735,2.214685558295313,1.0990000000000002,1.03,2.7543286747007665
0.5,0.22,40.0,0.5,0.35,0.5,0.16505999999999998,0.2261000000000001,14.622,16.303991117531762,2.6484776258758393,1.2810109276107111,1.9269635090906871,1.9492445811012,2.1627475137412735,2.214685558295313,1.0990000000000002,1.03,2.754477625875839
0.65,0.25,40.0,0.65,0.45499999999999996,0.65,0.234696,0.1564640000000001,14.622,16.618739517874527,2.623277492506885,1.3250458228369375,1.9269635090906871,1.9492445811012,2.1335624517848037,2.2055712834195593,1.10575,1.03,2.756277492506885
0.35,0.25,40.0,0.35,0.24499999999999997,0.35,0.10369799999999998,0.2874620000000001,14.622,15.954428631945891,2.6773345695744006,1.2321053655458045,1.9269635090906871,1.9492445811012,2.1335624517848037,2.2055712834195593,1.10575,1.03,2.756334569574401
0.5,0.25,40.0,0.5,0.35,0.5,0.16505999999999998,0.2261000000000001,14.622,16.267562073144465,2.6514414244638473,1.2759143198089267,1.9269635090906871,1.9492445811012,2.1335624517848037,2.2055712834195593,1.10575,1.03,2.757441424463847
0.4,0.28,40.0,0.4,0.27999999999999997,0.39999999999999997,0.13869800000000002,0.2524620000000001,14.622,15.970975176052095,2.6759472994079947,1.234420310864921,1.9269635090906871,1.9492445811012,2.034684679295039,2.1546759704203584,1.1125,1.03,2.7639472994079948
0.35,0.28,40.0,0.35,0.24499999999999997,0.35,0.10369799999999998,0.2874620000000001,14.622,15.833719477612837,2.687520590189831,1.215217543532686,1.9269635090906871,1.9492445811012,2.034684679295039,2.1546759704203584,1.1125,1.03,2.766520590189831
0.45,0.28,40.0,0.45,0.315,0.45,0.156464,0.23469600000000013,14.622,16.043298263790295,2.669908909661926,1.2445386771140288,1.9269635090906871,1.9492445811012,2.034684679295039,2.1546759704203584,1.1125,1.03,2.766908909661926
0.6,0.28,40.0,0.6,0.42,0.6,0.234696,0.1564640000000001,14.622,16.35421145849034,2.6444080406108936,1.2880370076477439,1.9269635090906871,1.9492445811012,2.034684679295039,2.1546759704203584,1.1125,1.03,2.7684080406108937
0.55,0.28,40.0,0.55,0.385,0.55,0.20006000000000002,0.19110000000000008,14.622,16.21832720430634,2.6554629380514023,1.2690261123123907,1.9269635090906871,1.9492445811012,2.034684679295039,2.1546759704203584,1.1125,1.03,2.7704629380514025
0.5,0.28,40.0,0.5,0.35,0.5,0.16505999999999998,0.2261000000000001,14.622,16.081071505867087,2.666771357287619,1.2498233449801557,1.9269635090906871,1.9492445811012,2.034684679295039,2.1546759704203584,1.1125,1.03,2.7727713572876187
