rpm,pitch_speed_kmh,throttle_percent,current_a,voltage_v,electric_power_w,efficiency_percent,shaft_power_w,thrust_g,thrust_n,ct_static,cp_static
3200,17.0,22.0,0.100,11.100,1.200,59.000,0.708,19.000,0.186326,0.140396,0.071601
4000,21.0,27.0,0.200,11.100,2.000,67.000,1.340,30.000,0.294199,0.141874,0.069384
4800,26.0,33.0,0.300,11.100,3.300,71.900,2.373,43.000,0.421686,0.141217,0.071098
5600,30.0,39.0,0.500,11.100,5.000,74.900,3.745,58.000,0.568786,0.139944,0.070668
6400,34.0,45.0,0.700,11.000,7.200,76.800,5.530,76.000,0.745305,0.140396,0.069902
7200,38.0,52.0,0.900,11.000,10.200,77.800,7.936,96.000,0.941438,0.140122,0.070456
8000,43.0,58.0,1.300,11.000,13.800,78.300,10.805,119.000,1.166991,0.140692,0.069937
8800,47.0,65.0,1.700,11.000,18.400,78.500,14.444,144.000,1.412158,0.140701,0.070238
9600,51.0,72.0,2.200,10.900,23.900,78.400,18.738,171.000,1.676937,0.140396,0.070184
10400,55.0,80.0,2.800,10.900,30.500,78.200,23.851,201.000,1.971137,0.140615,0.070266
11200,60.0,87.0,3.600,10.800,38.200,77.800,29.720,233.000,2.284949,0.140547,0.070101
12000,64.0,95.0,4.400,10.800,47.300,77.300,36.563,267.000,2.618376,0.140298,0.070118
12440,66.0,100.0,5.100,10.700,53.800,76.200,40.996,287.000,2.814509,0.140327,0.070569
