scenario,scenario_label,prop_drop_fraction_of_chord,prop_drop_fraction_of_diameter,prop_drop_m,alpha_deg,cl_total,cd_total,cm_total
clean_blowing,Clean blown wing,0.0,0.0,0.0,-6.0,0.45071418673865665,0.4379452126359846,-0.8794718966344576
clean_blowing,Clean blown wing,0.0,0.0,0.0,-5.716666666666667,0.9535153424205857,0.34447899567524737,-1.0673081540224885
clean_blowing,Clean blown wing,0.0,0.0,0.0,-5.433333333333334,1.4947361427379602,0.2500631465138563,-1.2823334167691667
clean_blowing,Clean blown wing,0.0,0.0,0.0,-5.15,2.0961128398635713,0.17837662205390503,-1.4252502039534856
clean_blowing,Clean blown wing,0.0,0.0,0.0,-4.866666666666667,2.5735932969889017,0.14600368732041397,-1.4719474785099418
clean_blowing,Clean blown wing,0.0,0.0,0.0,-4.583333333333334,2.941370617342645,0.13046240667172146,-1.4816266160103453
clean_blowing,Clean blown wing,0.0,0.0,0.0,-4.3,3.2556239375901352,0.11715959442418426,-1.4842632839892944
clean_blowing,Clean blown wing,0.0,0.0,0.0,-4.016666666666667,3.5317218856987895,0.09964625511637334,-1.49073202196501
clean_blowing,Clean blown wing,0.0,0.0,0.0,-3.7333333333333334,3.776100379110799,0.08704140354999407,-1.4881101400615886
clean_blowing,Clean blown wing,0.0,0.0,0.0,-3.45,3.9783385038759387,0.08040321291154744,-1.476891213082258
clean_blowing,Clean blown wing,0.0,0.0,0.0,-3.166666666666667,4.144538954046483,0.07568582341106203,-1.4606296343815617
clean_blowing,Clean blown wing,0.0,0.0,0.0,-2.8833333333333333,4.283808281079538,0.07164438368262031,-1.4415948199598625
clean_blowing,Clean blown wing,0.0,0.0,0.0,-2.6,4.403298939947546,0.06763765352612201,-1.4216818466345904
clean_blowing,Clean blown wing,0.0,0.0,0.0,-2.316666666666667,4.512044365307351,0.06422063840292634,-1.3995890690785573
clean_blowing,Clean blown wing,0.0,0.0,0.0,-2.033333333333333,4.6174369158574855,0.06279725223511748,-1.3728095921858465
clean_blowing,Clean blown wing,0.0,0.0,0.0,-1.75,4.711537008951761,0.0628475861004671,-1.3450111123222181
clean_blowing,Clean blown wing,0.0,0.0,0.0,-1.4666666666666668,4.790090353330855,0.06305228124231717,-1.3190355162970064
clean_blowing,Clean blown wing,0.0,0.0,0.0,-1.1833333333333336,4.857788349027793,0.0630437713110982,-1.2940018635943153
clean_blowing,Clean blown wing,0.0,0.0,0.0,-0.9000000000000004,4.9189789136292585,0.0628485179620715,-1.2689863192922217
clean_blowing,Clean blown wing,0.0,0.0,0.0,-0.6166666666666671,4.976217676140398,0.06256915437835887,-1.2439256033377715
clean_blowing,Clean blown wing,0.0,0.0,0.0,-0.3333333333333339,5.03061713797212,0.0622780723378609,-1.2190682712022045
clean_blowing,Clean blown wing,0.0,0.0,0.0,-0.04999999999999982,5.082449758490991,0.062000458882507124,-1.194671567444783
clean_blowing,Clean blown wing,0.0,0.0,0.0,0.2333333333333334,5.131723061078293,0.06173754694949353,-1.1708936959032195
clean_blowing,Clean blown wing,0.0,0.0,0.0,0.5166666666666666,5.178437678301908,0.06148528068225823,-1.147776786879415
clean_blowing,Clean blown wing,0.0,0.0,0.0,0.7999999999999998,5.222628253936506,0.06124401373870075,-1.1252857770411209
clean_blowing,Clean blown wing,0.0,0.0,0.0,1.083333333333333,5.2643498419244095,0.06102151488751677,-1.1033597405018185
clean_blowing,Clean blown wing,0.0,0.0,0.0,1.3666666666666663,5.303660591040369,0.060830328631241715,-1.0819455125593467
clean_blowing,Clean blown wing,0.0,0.0,0.0,1.6499999999999995,5.340609793502116,0.06068155379276509,-1.0610092839685787
clean_blowing,Clean blown wing,0.0,0.0,0.0,1.9333333333333336,5.3752346729423355,0.06057839106637983,-1.0405340215718064
clean_blowing,Clean blown wing,0.0,0.0,0.0,2.216666666666667,5.407566882365197,0.060513509067967784,-1.0205121253759903
clean_blowing,Clean blown wing,0.0,0.0,0.0,2.5,5.437644024081113,0.060472367048486866,-1.0009396884696875
clean_blowing,Clean blown wing,0.0,0.0,0.0,2.783333333333333,5.465522339683437,0.06043923212420838,-0.9818156584638273
clean_blowing,Clean blown wing,0.0,0.0,0.0,3.0666666666666664,5.4913025285972585,0.06039913213281059,-0.9631481862311824
clean_blowing,Clean blown wing,0.0,0.0,0.0,3.3499999999999996,5.515173780117226,0.0603365508064736,-0.944961693083234
clean_blowing,Clean blown wing,0.0,0.0,0.0,3.633333333333333,5.53739693241695,0.06024653109222465,-0.9272757436428641
clean_blowing,Clean blown wing,0.0,0.0,0.0,3.916666666666666,5.558232590541468,0.06014845108674546,-0.9100869983225891
clean_blowing,Clean blown wing,0.0,0.0,0.0,4.199999999999999,5.5780270705077495,0.06005014700648245,-0.8934556665703305
clean_blowing,Clean blown wing,0.0,0.0,0.0,4.4833333333333325,5.597234076410091,0.059899796724595916,-0.8775543639829636
clean_blowing,Clean blown wing,0.0,0.0,0.0,4.766666666666666,5.616153513724807,0.059640500280945155,-0.8624424737385884
clean_blowing,Clean blown wing,0.0,0.0,0.0,5.049999999999999,5.634742546930353,0.059342481295823216,-0.8477564629439257
clean_blowing,Clean blown wing,0.0,0.0,0.0,5.333333333333332,5.652795585608481,0.059150910246236,-0.8330044337896756
clean_blowing,Clean blown wing,0.0,0.0,0.0,5.616666666666667,5.670208589502966,0.05912025753339333,-0.8181005135560109
clean_blowing,Clean blown wing,0.0,0.0,0.0,5.9,5.68699356682883,0.059221712545534336,-0.8032664629701532
clean_blowing,Clean blown wing,0.0,0.0,0.0,6.183333333333334,5.703170270741294,0.05942456791596473,-0.7887007399610588
clean_blowing,Clean blown wing,0.0,0.0,0.0,6.466666666666667,5.718700190418639,0.0597273276622334,-0.7744591540004201
clean_blowing,Clean blown wing,0.0,0.0,0.0,6.75,5.7334823859423505,0.06015526755182953,-0.7604814824125106
clean_blowing,Clean blown wing,0.0,0.0,0.0,7.033333333333333,5.747377692363295,0.060752689338060925,-0.7466471142174442
clean_blowing,Clean blown wing,0.0,0.0,0.0,7.316666666666666,5.760233347826102,0.06157664332622885,-0.7328193920493583
