rank,scenario,scenario_label,n_props,prop_diameter_in,prop_pitch_in,prop_pitch_ratio,prop_family,blade_count_metadata,prop_drop_fraction_of_chord,prop_drop_fraction_of_diameter,prop_drop_m,recommended_flap_span_fraction,recommended_flap_chord_fraction,recommended_flap_deflection_deg,recommended_aileron_span_fraction,recommended_aileron_chord_fraction,equivalent_reference_clmax,equivalent_vstall_mps,low_speed_lift_margin,alpha_at_peak_total_cl_deg,alpha_poststall_90pct_deg,poststall_drop_5deg,alpha_required_for_4ms_cl_deg,cd_at_required_alpha,cm_at_peak_total_cl,cambridge_immersion_at_clmax,cambridge_margin_m_at_clmax,overdrop_severity_at_clmax,overdrop_peak_shift_deg_at_clmax
6,clean_blowing,Clean blown wing,10,5.5,2.2,0.4,balanced,3,0.0,0.0,0.0,0.65,0.34,40.0,0.28,0.28,5.811224578997015,4.436182903095881,-0.1869802509130125,9.583333333333332,12.89581785929003,2.416428797441973,,,-0.6179180871543405,0.9427102355815472,0.009802229429121574,0.0,0.0
6,slotted_flap_blowing,Slotted flap + blowing,10,5.5,2.2,0.4,balanced,3,0.0,0.0,0.0,0.65,0.34,40.0,0.28,0.28,5.866125941077255,4.415374875485458,-0.17929927231439946,7.033333333333333,9.588616479240686,1.9028730653533361,,,-0.9986692131312935,0.7839288882272666,0.004510487582201961,0.0,0.0
6,clean_blowing,Clean blown wing,10,5.5,2.2,0.4,balanced,3,0.04,0.10021474588403721,0.013999999999999999,0.65,0.34,40.0,0.28,0.28,5.843020849066418,4.424096133894373,-0.18253179170061873,12.983333333333334,16.808032592084214,1.9220525516218805,,,-0.5062626410529668,0.9734139864129183,0.012601484676926206,0.0,0.0
6,slotted_flap_blowing,Slotted flap + blowing,10,5.5,2.2,0.4,balanced,3,0.04,0.10021474588403721,0.013999999999999999,0.65,0.34,40.0,0.28,0.28,5.9729031685463,4.375730200753599,-0.16436059742669262,11.0,13.853489288475384,1.9893973035556036,,,-0.9139502975516158,0.8218289061746105,0.005350757790529445,0.0,0.0
6,clean_blowing,Clean blown wing,10,5.5,2.2,0.4,balanced,3,0.08,0.20042949176807442,0.027999999999999997,0.65,0.34,40.0,0.28,0.28,5.848273914917915,4.4221087706389435,-0.18179686118425964,13.266666666666666,19.388283087663044,0.2812560250263072,,,-0.5041557820361637,0.9993484788336444,0.02567442128922444,0.0,0.0
6,slotted_flap_blowing,Slotted flap + blowing,10,5.5,2.2,0.4,balanced,3,0.08,0.20042949176807442,0.027999999999999997,0.65,0.34,40.0,0.28,0.28,6.002456732899919,4.364944784027251,-0.16022590410194204,12.983333333333334,17.593163152379617,0.9051091872902663,,,-0.8975765673687648,0.975073078640473,0.012832974077440537,0.0,0.0
6,clean_blowing,Clean blown wing,10,5.5,2.2,0.4,balanced,3,0.12,0.3006442376521117,0.041999999999999996,0.65,0.34,40.0,0.28,0.28,5.848379613181966,4.422068809883715,-0.1817820734618184,13.266666666666666,20.154614807441416,0.2533677737628519,,,-0.5041659864647173,0.9999880593364818,0.03967442128922444,0.0,0.0
6,slotted_flap_blowing,Slotted flap + blowing,10,5.5,2.2,0.4,balanced,3,0.12,0.3006442376521117,0.041999999999999996,0.65,0.34,40.0,0.28,0.28,6.00344289856281,4.364586261798625,-0.16008793453134595,13.266666666666666,20.08147072659812,0.23411869750020475,,,-0.8984243863672177,0.9993901507751678,0.02590591068973877,0.0,0.0
6,clean_blowing,Clean blown wing,10,5.5,2.2,0.4,balanced,3,0.16,0.40085898353614885,0.055999999999999994,0.65,0.34,40.0,0.28,0.28,5.806974035471939,4.437806187366699,-0.18757492347871074,9.016666666666666,11.564492896295965,2.671248700161676,,,-0.7245382369876671,0.9999999960018967,0.06768106017785014,0.37374544763181133,1.121236342895434
6,slotted_flap_blowing,Slotted flap + blowing,10,5.5,2.2,0.4,balanced,3,0.16,0.40085898353614885,0.055999999999999994,0.65,0.34,40.0,0.28,0.28,5.942585027297008,4.3868781463183435,-0.16860225893128677,9.299999999999999,12.811572421402591,1.121529056558911,,,-1.0078036766573777,0.9999997327477298,0.052972753838117295,0.0,0.0
6,clean_blowing,Clean blown wing,10,5.5,2.2,0.4,balanced,3,0.2,0.5010737294201861,0.06999999999999999,0.65,0.34,40.0,0.28,0.28,5.756541909564168,4.457203244930229,-0.1946306333027037,7.316666666666666,9.316077162873713,4.156706572988336,,,-0.8153945096017542,0.9999999999854396,0.08733452177833753,0.6440196055908809,1.9320588167726427
6,slotted_flap_blowing,Slotted flap + blowing,10,5.5,2.2,0.4,balanced,3,0.2,0.5010737294201861,0.06999999999999999,0.65,0.34,40.0,0.28,0.28,5.896843891559758,4.403859532355568,-0.17500167547327683,7.316666666666666,9.963029913898207,2.607643440454464,,,-1.0511349122491325,0.9999999992559109,0.07356601117885185,0.5340956567002255,1.6022869701006766
6,clean_blowing,Clean blown wing,10,5.5,2.2,0.4,balanced,3,0.24,0.6012884753042234,0.08399999999999999,0.65,0.34,40.0,0.28,0.28,5.737074803723264,4.464758956564846,-0.1973541799994576,7.033333333333333,8.639557052148685,4.56869656865129,,,-0.8591521948717915,0.9999999999997964,0.10227899818168762,0.7758419919605628,2.3275259758816884
6,slotted_flap_blowing,Slotted flap + blowing,10,5.5,2.2,0.4,balanced,3,0.24,0.6012884753042234,0.08399999999999999,0.65,0.34,40.0,0.28,0.28,5.885439646091697,4.408124157641377,-0.17659718717015394,7.033333333333333,9.167822751296997,4.202220396339145,,,-1.0782591569440827,0.9999999999895948,0.08851048758220195,0.7765424945429107,2.329627483628732
