is_feasible,n_props,prop_diameter_in,prop_pitch_ratio,prop_pitch_in,prop_family,solved_low_speed_rpm,solved_cruise_rpm,low_speed_power_w,cruise_power_w,loiter_energy_wh,low_speed_thrust_n,low_speed_drag_n,cruise_thrust_n,cruise_drag_n,low_speed_veff_mps,low_speed_required_veff_mps,low_speed_blown_span_fraction,low_speed_cl_required,cruise_cl_required,low_speed_clmax_blown_section,low_speed_thrust_to_drag,cruise_thrust_to_drag,low_speed_disk_loading_npm2,low_speed_momentum_coefficient,per_prop_low_speed_torque_nm,per_prop_cruise_torque_nm,per_prop_peak_shaft_power_w,per_prop_peak_current_a,motor_required_current_a,motor_required_kv_rpm_per_v,low_speed_tip_mach,cruise_tip_mach,blade_reynolds_low_speed,prop_reynolds_penalty_factor,prop_mass_kg_per_unit,motor_mass_kg_per_unit,esc_mass_kg_per_unit,propulsion_mass_kg_total,battery_mass_kg_estimate,total_built_mass_kg,mass_budget_margin_kg,packing_margin_m,fuselage_margin_m,inter_prop_margin_m,tip_margin_m,low_speed_thrust_margin_n,cruise_thrust_margin_n,low_speed_veff_margin_mps,low_speed_lift_margin,cruise_lift_margin,disk_loading_lower_margin_npm2,disk_loading_upper_margin_npm2
1,6,7.000,0.400,2.800,cruise,7806.2,7337.9,167.049,118.767,35.630,9.960,9.480,6.171,6.048,14.448,10.607,0.427,7.148,1.144,2.000,1.051,1.020,66.861,1.452,0.02305,0.01699,18.846,1.881,1.881,620.521,0.212,0.201,65763,0.943,0.0135,0.0049,0.0007,0.1153,0.2654,2.3806,2.6194,0.00000,0.00000,0.12615,0.00000,0.006,0.002,3.841,0.922,0.256,41.861,433.139
1,10,5.500,0.400,2.200,balanced,9695.8,9564.5,171.216,131.177,39.353,10.593,10.084,6.172,6.048,14.622,9.471,0.559,7.148,1.144,2.000,1.050,1.020,69.107,1.544,0.01143,0.00871,11.608,1.157,1.157,770.731,0.207,0.206,50433,0.871,0.0074,0.0033,0.0004,0.1107,0.2909,2.4016,2.5984,0.00000,0.00000,0.00910,0.00000,0.005,0.003,5.151,1.161,0.256,44.107,430.893
1,8,5.500,0.400,2.200,balanced,10560.1,10193.4,182.312,133.690,40.107,10.481,9.980,6.169,6.048,15.813,10.398,0.447,7.148,1.144,2.000,1.050,1.020,85.470,1.528,0.01402,0.01043,15.508,1.540,1.540,839.432,0.226,0.219,54905,0.893,0.0074,0.0042,0.0006,0.0973,0.2978,2.3951,2.6049,0.00000,0.00000,0.06717,0.00000,0.001,0.000,5.415,1.135,0.256,60.470,414.530
1,4,8.000,0.500,4.000,cruise,6858.9,6462.9,182.558,130.706,39.212,9.860,9.383,6.170,6.048,15.140,11.944,0.325,7.148,1.144,2.000,1.051,1.020,76.013,1.437,0.04324,0.03210,31.061,3.084,3.084,545.222,0.213,0.203,75470,0.983,0.0189,0.0076,0.0013,0.1114,0.2918,2.4032,2.5968,0.00000,0.00000,0.40470,0.00000,0.008,0.001,3.196,0.755,0.256,51.013,423.987
1,10,5.500,0.400,2.200,cruise,10374.5,9474.6,183.850,119.726,35.918,10.589,10.083,6.172,6.048,14.620,9.471,0.559,7.148,1.144,2.000,1.050,1.020,69.085,1.544,0.01152,0.00796,12.517,1.242,1.242,824.683,0.222,0.204,53945,0.888,0.0074,0.0035,0.0005,0.1133,0.2701,2.3834,2.6166,0.00000,0.00000,0.00910,0.00000,0.002,0.003,5.150,1.161,0.256,44.085,430.915
1,4,7.000,0.500,3.500,balanced,8314.0,8154.3,190.582,147.799,44.340,9.916,9.440,6.171,6.048,16.768,12.679,0.284,7.148,1.144,2.000,1.050,1.020,99.845,1.445,0.03733,0.02905,32.505,3.219,3.219,660.888,0.226,0.223,70019,0.961,0.0135,0.0079,0.0014,0.0914,0.3274,2.4188,2.5812,0.00000,0.00000,0.45550,0.00000,0.004,0.002,4.088,0.856,0.256,74.845,400.155
1,8,5.500,0.400,2.200,cruise,11331.5,10209.0,197.000,125.060,37.518,10.484,9.981,6.171,6.048,15.815,10.398,0.447,7.148,1.144,2.000,1.050,1.020,85.497,1.528,0.01418,0.00969,16.830,1.664,1.664,900.759,0.242,0.220,58897,0.912,0.0074,0.0045,0.0006,0.1002,0.2830,2.3831,2.6169,0.00000,0.00000,0.06717,0.00000,0.004,0.001,5.417,1.135,0.256,60.497,414.503
1,4,7.000,0.500,3.500,cruise,8919.4,8189.5,205.820,139.035,41.711,9.913,9.440,6.172,6.048,16.765,12.679,0.284,7.148,1.144,2.000,1.050,1.020,99.810,1.445,0.03774,0.02708,35.248,3.477,3.477,709.017,0.242,0.224,75095,0.981,0.0135,0.0085,0.0015,0.0942,0.3124,2.4066,2.5934,0.00000,0.00000,0.45550,0.00000,0.001,0.002,4.086,0.856,0.256,74.810,400.190
1,4,6.000,0.500,3.000,balanced,11277.8,10619.1,220.731,155.579,46.674,10.073,9.591,6.170,6.048,19.013,13.597,0.244,7.148,1.144,2.000,1.050,1.020,138.046,1.468,0.03212,0.02356,37.932,3.729,3.729,896.489,0.263,0.249,69739,0.960,0.0092,0.0090,0.0017,0.0796,0.3479,2.4276,2.5724,0.00000,0.00000,0.50630,0.00000,0.003,0.001,5.415,0.977,0.256,113.046,361.954
1,6,5.500,0.500,2.750,cruise,12303.2,10978.5,230.829,143.836,43.151,10.358,9.864,6.172,6.048,17.561,11.783,0.335,7.148,1.144,2.000,1.050,1.020,112.631,1.510,0.02057,0.01397,26.500,2.599,2.599,977.999,0.263,0.236,63928,0.935,0.0074,0.0066,0.0011,0.0908,0.3261,2.4169,2.5831,0.00000,0.00000,0.18330,0.00000,0.002,0.003,5.778,1.100,0.256,87.631,387.369
