is_feasible,n_props,prop_diameter_in,prop_pitch_ratio,prop_pitch_in,prop_family,solved_low_speed_rpm,solved_cruise_rpm,low_speed_power_w,cruise_power_w,loiter_energy_wh,low_speed_thrust_n,low_speed_drag_n,cruise_thrust_n,cruise_drag_n,low_speed_veff_mps,low_speed_required_veff_mps,low_speed_blown_span_fraction,low_speed_cl_required,cruise_cl_required,low_speed_clmax_blown_section,low_speed_thrust_to_drag,cruise_thrust_to_drag,low_speed_disk_loading_npm2,low_speed_momentum_coefficient,per_prop_low_speed_torque_nm,per_prop_cruise_torque_nm,per_prop_peak_shaft_power_w,per_prop_peak_current_a,motor_required_current_a,motor_required_kv_rpm_per_v,low_speed_tip_mach,cruise_tip_mach,blade_reynolds_low_speed,prop_reynolds_penalty_factor,prop_mass_kg_per_unit,motor_mass_kg_per_unit,esc_mass_kg_per_unit,propulsion_mass_kg_total,battery_mass_kg_estimate,total_built_mass_kg,mass_budget_margin_kg,packing_margin_m,fuselage_margin_m,inter_prop_margin_m,tip_margin_m,low_speed_thrust_margin_n,cruise_thrust_margin_n,low_speed_veff_margin_mps,low_speed_lift_margin,cruise_lift_margin,disk_loading_lower_margin_npm2,disk_loading_upper_margin_npm2
0,4,4.000,0.400,1.600,high_thrust,14000.0,11000.0,52.647,19.012,5.704,2.605,10.534,0.063,6.048,15.452,12.774,0.163,7.148,1.144,3.200,0.247,0.010,80.331,0.380,0.00524,0.00141,7.676,0.889,0.889,1112.878,0.217,0.173,38507,0.803,0.0033,0.0023,0.0003,0.0237,0.0468,2.0705,2.9295,0.00000,0.00000,0.60790,0.00000,-8.455,-6.106,2.678,1.013,0.256,55.331,419.669
0,4,4.000,0.400,1.600,balanced,14000.0,11000.0,46.602,21.417,6.425,2.301,10.913,0.578,6.048,14.764,12.774,0.163,7.148,1.144,3.200,0.211,0.095,70.960,0.335,0.00449,0.00178,6.588,0.787,0.787,1112.878,0.217,0.173,38507,0.803,0.0033,0.0020,0.0003,0.0224,0.0506,2.0730,2.9270,0.00000,0.00000,0.60790,0.00000,-9.158,-5.592,1.989,0.804,0.256,45.960,429.040
0,4,4.000,0.400,1.600,cruise,14000.0,11000.0,41.389,21.253,6.376,1.946,11.523,0.690,6.048,13.897,12.858,0.163,7.148,1.144,3.159,0.169,0.114,59.999,0.284,0.00385,0.00176,5.650,0.699,0.699,1112.878,0.217,0.173,38507,0.803,0.0033,0.0018,0.0002,0.0213,0.0494,2.0707,2.9293,0.00000,0.00000,0.60790,0.00000,-10.153,-5.480,1.040,0.455,0.256,34.999,440.001
0,4,4.000,0.500,2.000,high_thrust,14000.0,11000.0,60.981,20.773,6.232,2.817,10.326,0.068,6.048,15.908,12.774,0.163,7.148,1.144,3.200,0.273,0.011,86.857,0.411,0.00626,0.00168,9.177,1.030,1.030,1112.878,0.217,0.173,38507,0.803,0.0033,0.0027,0.0004,0.0255,0.0517,2.0772,2.9228,0.00000,0.00000,0.60790,0.00000,-8.025,-6.101,3.134,1.137,0.256,61.857,413.143
0,4,4.000,0.500,2.000,balanced,14000.0,11000.0,53.755,23.648,7.094,2.488,10.667,0.624,6.048,15.192,12.774,0.163,7.148,1.144,3.200,0.233,0.103,76.725,0.363,0.00537,0.00213,7.876,0.908,0.908,1112.878,0.217,0.173,38507,0.803,0.0033,0.0023,0.0003,0.0239,0.0563,2.0802,2.9198,0.00000,0.00000,0.60790,0.00000,-8.713,-5.545,2.418,0.938,0.256,51.725,423.275
0,4,4.000,0.500,2.000,cruise,14000.0,11000.0,47.524,23.453,7.036,2.104,11.226,0.746,6.048,14.292,12.781,0.163,7.148,1.144,3.197,0.187,0.123,64.873,0.307,0.00461,0.00210,6.754,0.803,0.803,1112.878,0.217,0.173,38507,0.803,0.0033,0.0020,0.0003,0.0226,0.0548,2.0774,2.9226,0.00000,0.00000,0.60790,0.00000,-9.683,-5.424,1.511,0.640,0.256,39.873,435.127
0,4,4.000,0.600,2.400,high_thrust,14000.0,11000.0,68.987,22.465,6.739,3.002,10.174,0.073,6.048,16.294,12.774,0.163,7.148,1.144,3.200,0.295,0.012,92.580,0.438,0.00724,0.00195,10.618,1.165,1.165,1112.878,0.217,0.173,38507,0.803,0.0033,0.0030,0.0004,0.0271,0.0564,2.0836,2.9164,0.00000,0.00000,0.60790,0.00000,-7.680,-6.096,3.520,1.233,0.256,67.580,407.420
0,4,4.000,0.600,2.400,balanced,14000.0,11000.0,60.626,25.791,7.737,2.652,10.484,0.666,6.048,15.555,12.774,0.163,7.148,1.144,3.200,0.253,0.110,81.780,0.387,0.00622,0.00247,9.113,1.024,1.024,1112.878,0.217,0.173,38507,0.803,0.0033,0.0026,0.0004,0.0254,0.0617,2.0871,2.9129,0.00000,0.00000,0.60790,0.00000,-8.356,-5.504,2.781,1.042,0.256,56.780,418.220
0,4,4.000,0.600,2.400,cruise,14000.0,11000.0,53.416,25.565,7.670,2.242,11.000,0.795,6.048,14.625,12.774,0.163,7.148,1.144,3.200,0.204,0.131,69.148,0.327,0.00533,0.00243,7.815,0.902,0.902,1112.878,0.217,0.173,38507,0.803,0.0033,0.0023,0.0003,0.0239,0.0600,2.0839,2.9161,0.00000,0.00000,0.60790,0.00000,-9.308,-5.375,1.851,0.759,0.256,44.148,430.852
0,4,4.000,0.700,2.800,high_thrust,14000.0,11000.0,76.729,24.101,7.230,3.169,10.058,0.077,6.048,16.631,12.774,0.163,7.148,1.144,3.200,0.315,0.013,97.712,0.462,0.00819,0.00220,12.011,1.296,1.296,1112.878,0.217,0.173,38507,0.803,0.0033,0.0034,0.0005,0.0287,0.0610,2.0897,2.9103,0.00000,0.00000,0.60790,0.00000,-7.392,-6.092,3.856,1.312,0.256,72.712,402.288
