mode,sweep_type,velocity_mps,alpha_deg,cl,cl_required,cm,tail_cl,wing_profile_drag_n,wing_induced_drag_n,htail_drag_n,vtail_drag_n,fuselage_drag_n,total_drag_n,power_w,rpm,thrust_required_n,thrust_available_n,rpm_feasible,trim_feasible,added_drag_required_n,blown_effective_velocity_mps
clean,velocity,3.5,nan,nan,9.335776759683466,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan
clean,velocity,3.75,nan,nan,8.132498866213151,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan
clean,velocity,4.0,nan,nan,7.147704081632652,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan
clean,velocity,4.25,nan,nan,6.331530259162488,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan
clean,velocity,4.5,nan,nan,5.647568657092466,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan
clean,velocity,4.75,nan,nan,5.068731980326756,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan
clean,velocity,5.0,nan,nan,4.574530612244898,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan
clean,velocity,5.25,nan,nan,4.149234115414873,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan
clean,velocity,5.5,nan,nan,3.780603811772642,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan
clean,velocity,5.75,nan,nan,3.45900235330427,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan
clean,velocity,6.0,nan,nan,3.1767573696145126,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan
clean,velocity,6.25,nan,nan,2.9276995918367343,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan
clean,velocity,6.5,nan,nan,2.7068228474821883,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan
clean,velocity,6.75,nan,nan,2.510030514263318,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan
clean,velocity,7.0,nan,nan,2.3339441899208664,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan
clean,velocity,7.25,nan,nan,2.1757577228275373,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan
clean,velocity,7.5,nan,nan,2.0331247165532877,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan
clean,velocity,7.75,nan,nan,1.9040710144619761,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan
clean,velocity,8.0,nan,nan,1.786926020408163,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan
clean,velocity,8.25,nan,nan,1.6802683607878413,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan
