airfoil,flap_deflection_deg,cmu,veff_mps,reynolds,reynolds_inf,q_ratio,alpha_deg,cl_local,cd_local,cm_local,cl_equiv,cd_equiv,cm_equiv,cx_equiv,cl_wing_ref,cd_wing_ref,cm_wing_ref,cx_wing_ref
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,-6.0,-0.20782751512512715,0.10231249434486239,-0.03231410844654919,-0.20782751512512715,0.10231249434486239,-0.03231410844654919,-0.12347590657647284,-0.20780687717131696,0.10230233437864608,-0.0323108995496082,-0.12346364501401774
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,-5.8,-0.19620725406828898,0.09986411515385737,-0.035028977842414745,-0.19620725406828898,0.09986411515385737,-0.035028977842414745,-0.11918086024740422,-0.196189887550415,0.0998552760721984,-0.035025877389413165,-0.11917031141958664
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,-5.6,-0.18267498714221736,0.09731637375138802,-0.03811348611883799,-0.18267498714221736,0.09731637375138802,-0.03811348611883799,-0.11467787658305693,-0.1826609714091245,0.09730890715543307,-0.038110561862720396,-0.11466907792630053
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,-5.4,-0.1671091244837774,0.09468795792781183,-0.04157902618797316,-0.1671091244837774,0.09468795792781183,-0.04157902618797316,-0.10999408726416807,-0.1670983947059635,0.09468187818349291,-0.04157635647311412,-0.1099870247406773
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,-5.2,-0.1491507526311054,0.09199846933865294,-0.04546432154360939,-0.1491507526311054,0.09199846933865294,-0.04546432154360939,-0.1051377578603121,-0.14914312343525218,0.09199376353376494,-0.045461996002455415,-0.1051323799689362
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,-5.0,-0.12774487480230326,0.08926408305593203,-0.04986742666772387,-0.12774487480230326,0.08926408305593203,-0.04986742666772387,-0.10005810571594205,-0.1277400813812162,0.08926073356470039,-0.04986555547269615,-0.10005435119636065
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,-4.8,-0.10021383437017602,0.0864764772222556,-0.05507719961937545,-0.10021383437017602,0.0864764772222556,-0.05507719961937545,-0.09455886957718831,-0.10021152011297338,0.0864744802044633,-0.055075927711093306,-0.09455668591116687
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,-4.6,-0.06127364609676137,0.08344381150384943,-0.062239444820131454,-0.06127364609676137,0.08344381150384943,-0.062239444820131454,-0.08808910935158897,-0.061273117087538825,0.08344309108734639,-0.062238907472635205,-0.08808834882966445
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,-4.4,-0.004672438016380465,0.07882322228562529,-0.07554480946176571,-0.004672438016380465,0.07882322228562529,-0.07554480946176571,-0.07894937562287652,-0.004672437781806005,0.07882321832839467,-0.07554480566912411,-0.07894937165931253
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,-4.2,0.06876046959047963,0.06781833540532949,-0.10252743850924427,0.06876046959047963,0.06781833540532949,-0.10252743850924427,-0.06260031489454307,0.06875972201252505,0.06781759807045137,-0.10252632380986502,-0.06259963429105617
