flow5 v7.54

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000

  alpha     CL        CD        Cm
 ------- -------- --------- ---------
 -24.000  -0.8975   0.44892    0.2397
 -23.000  -0.8664   0.40729    0.2193
 -22.000  -0.8297   0.36414    0.1925
 -21.000  -0.7863   0.32151    0.1590
 -20.000  -0.7371   0.28299    0.1219
 -19.000  -0.6856   0.25169    0.0872
 -18.000  -0.6359   0.22801    0.0591
 -17.000  -0.5901   0.21000    0.0383
 -16.000  -0.5478   0.19519    0.0230
 -15.000  -0.5083   0.18168    0.0113
 -14.000  -0.4707   0.16836    0.0016
 -13.000  -0.4351   0.15476   -0.0069
 -12.000  -0.4036   0.14103   -0.0143
 -11.000  -0.3807   0.12784   -0.0200
 -10.000  -0.3663   0.11539   -0.0246
  -9.000  -0.3472   0.10234   -0.0318
  -8.000  -0.3103   0.08708   -0.0453
  -7.000  -0.2548   0.06819   -0.0669
  -6.000  -0.1615   0.04586   -0.0942
  -5.000  -0.0683   0.02793   -0.1087
  -4.000   0.0460   0.01564   -0.1096
  -3.000   0.1477   0.01272   -0.1068
  -2.000   0.2547   0.01105   -0.1064
  -1.000   0.3599   0.00852   -0.1039
   0.000   0.4686   0.00802   -0.1027
   1.000   0.5772   0.00813   -0.1030
   2.000   0.6896   0.00841   -0.1035
   3.000   0.8022   0.00878   -0.1034
   4.000   0.9114   0.00926   -0.1025
   5.000   1.0162   0.01001   -0.1008
   6.000   1.1169   0.01108   -0.0990
   7.000   1.2087   0.01314   -0.0959
   8.000   1.2784   0.01667   -0.0901
   9.000   1.3264   0.02142   -0.0824
  10.000   1.3611   0.02678   -0.0737
  11.000   1.3839   0.03335   -0.0653
  12.000   1.4040   0.04115   -0.0589
  13.000   1.4209   0.05031   -0.0545
  14.000   1.4232   0.06183   -0.0527
  15.000   1.3922   0.07830   -0.0559
  16.000   1.3140   0.10375   -0.0691
  17.000   1.1680   0.15096   -0.1008
  18.000   1.0508   0.20883   -0.1426
  19.000   0.9925   0.25488   -0.1746
  20.000   0.9609   0.29022   -0.1991
  21.000   0.9388   0.32721   -0.2179
  22.000   0.9232   0.36828   -0.2318
  23.000   0.9194   0.40998   -0.2429
  24.000   0.9261   0.45052   -0.2529
  25.000   0.9396   0.48958   -0.2623
  26.000   0.9566   0.52750   -0.2716
  27.000   0.9749   0.56473   -0.2806
  28.000   0.9932   0.60164   -0.2895
