flow5 v7.54

 Calculated polar for: Epler E423

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.080 e 6     Ncrit =   9.000

  alpha     CL        CD        Cm
 ------- -------- --------- ---------
 -24.000  -0.8683   0.44629    0.2264
 -23.000  -0.8147   0.40329    0.1965
 -22.000  -0.7421   0.35853    0.1560
 -21.000  -0.6481   0.31446    0.1066
 -20.000  -0.5395   0.27526    0.0565
 -19.000  -0.4330   0.24449    0.0157
 -18.000  -0.3456   0.22272   -0.0110
 -17.000  -0.2859   0.20822   -0.0255
 -16.000  -0.2542   0.19884   -0.0315
 -15.000  -0.2445   0.19264   -0.0325
 -14.000  -0.2377   0.18695   -0.0334
 -13.000  -0.2026   0.17835   -0.0403
 -12.000  -0.1289   0.16585   -0.0550
 -11.000  -0.0392   0.15135   -0.0731
 -10.000   0.0427   0.13686   -0.0896
  -9.000   0.1057   0.12384   -0.1017
  -8.000   0.1454   0.11332   -0.1083
  -7.000   0.1607   0.10567   -0.1093
  -6.000   0.1523   0.10081   -0.1057
  -5.000   0.1245   0.09849   -0.0998
  -4.000   0.0924   0.09805   -0.0957
  -3.000   0.0849   0.09749   -0.0982
  -2.000   0.1272   0.09418   -0.1090
  -1.000   0.2096   0.09031   -0.1233
   0.000   0.3374   0.08565   -0.1476
   1.000   0.5139   0.07845   -0.1690
   2.000   0.6147   0.08142   -0.1737
   3.000   0.6759   0.08891   -0.1725
   4.000   0.7288   0.09468   -0.1710
   5.000   0.7834   0.10112   -0.1712
   6.000   0.8339   0.11012   -0.1703
   7.000   0.8821   0.11938   -0.1693
   8.000   0.9279   0.12868   -0.1686
   9.000   0.9716   0.13793   -0.1682
  10.000   1.0138   0.14681   -0.1681
  11.000   1.0551   0.15497   -0.1681
  12.000   1.0968   0.16224   -0.1681
  13.000   1.1400   0.16869   -0.1676
  14.000   1.1836   0.17458   -0.1672
  15.000   1.2219   0.18091   -0.1682
  16.000   1.2457   0.18898   -0.1724
  17.000   1.2530   0.19825   -0.1820
  18.000   1.2324   0.21265   -0.1982
  19.000   1.1750   0.23608   -0.2180
  20.000   1.0946   0.27101   -0.2335
  21.000   1.0170   0.31714   -0.2422
  22.000   0.9660   0.36540   -0.2473
  23.000   0.9427   0.41059   -0.2521
  24.000   0.9390   0.45257   -0.2580
  25.000   0.9468   0.49234   -0.2652
  26.000   0.9608   0.53064   -0.2732
  27.000   0.9774   0.56810   -0.2816
  28.000   0.9949   0.60514   -0.2901
