flow5 v7.54

 Calculated polar for: S1210

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.060 e 6     Ncrit =   9.000

  alpha     CL        CD        Cm
 ------- -------- --------- ---------
 -24.000  -0.8779   0.44400    0.2303
 -23.000  -0.8343   0.40180    0.2034
 -22.000  -0.7779   0.35830    0.1674
 -21.000  -0.7077   0.31591    0.1237
 -20.000  -0.6281   0.27841    0.0785
 -19.000  -0.5493   0.24857    0.0403
 -18.000  -0.4804   0.22636    0.0130
 -17.000  -0.4242   0.20966   -0.0045
 -16.000  -0.3788   0.19627   -0.0153
 -15.000  -0.3411   0.18470   -0.0219
 -14.000  -0.3090   0.17423   -0.0259
 -13.000  -0.2814   0.16447   -0.0283
 -12.000  -0.2582   0.15523   -0.0295
 -11.000  -0.2400   0.14640   -0.0296
 -10.000  -0.2285   0.13807   -0.0286
  -9.000  -0.2263   0.13059   -0.0263
  -8.000  -0.2363   0.12445   -0.0224
  -7.000  -0.2609   0.11963   -0.0170
  -6.000  -0.2886   0.11479   -0.0124
  -5.000  -0.2707   0.10768   -0.0165
  -4.000  -0.1666   0.09677   -0.0361
  -3.000   0.1406   0.06311   -0.1251
  -2.000   0.5395   0.03308   -0.2123
  -1.000   0.7276   0.03058   -0.2223
   0.000   0.8668   0.03252   -0.2192
   1.000   0.9980   0.03233   -0.2224
   2.000   1.1177   0.03451   -0.2259
   3.000   1.2064   0.03876   -0.2246
   4.000   1.2604   0.04486   -0.2204
   5.000   1.2976   0.05403   -0.2176
   6.000   1.3310   0.06334   -0.2143
   7.000   1.4008   0.06773   -0.2099
   8.000   1.5343   0.06391   -0.2042
   9.000   1.6957   0.05559   -0.1954
  10.000   1.8143   0.05080   -0.1840
  11.000   1.8737   0.05281   -0.1738
  12.000   1.8918   0.06042   -0.1654
  13.000   1.8209   0.07778   -0.1616
  14.000   1.4165   0.15381   -0.1832
  15.000   1.2630   0.20388   -0.2101
  16.000   1.2616   0.22102   -0.2261
  17.000   1.2518   0.23827   -0.2402
  18.000   1.2257   0.25460   -0.2543
  19.000   1.1727   0.27575   -0.2660
  20.000   1.1004   0.30455   -0.2710
  21.000   1.0294   0.34022   -0.2688
  22.000   0.9779   0.37982   -0.2642
  23.000   0.9514   0.42030   -0.2620
  24.000   0.9448   0.45998   -0.2636
  25.000   0.9510   0.49848   -0.2684
  26.000   0.9640   0.53605   -0.2750
  27.000   0.9801   0.57307   -0.2827
  28.000   0.9972   0.60988   -0.2908
