aileron_span_fraction,aileron_chord_fraction,aileron_start_y_m,aileron_area_m2,aileron_area_ratio,aileron_blown_overlap_fraction,low_speed_local_dynamic_pressure_ratio,low_speed_effective_velocity_mps,cruise_trim_alpha_deg,cl_delta_per_deg,cl_p_hat,roll_rate_at_nominal_degps,roll_rate_at_max_degps,low_speed_cl_delta_per_deg_proxy,low_speed_cl_p_hat_proxy,low_speed_roll_rate_at_nominal_degps_proxy,low_speed_roll_rate_at_max_degps_proxy,score,selected_flap_span_fraction,selected_flap_chord_fraction,selected_flap_deflection_deg
0.16,0.16,0.84,0.01792,0.025599999999999998,0.6748750000000003,9.343263833718755,12.226701163416896,12.0,0.00046959488165889443,-0.4311784692955642,8.736087119920464,12.480124457029236,0.004387548874302987,-3.409873909527544,4.12851918170399,5.897884545291414,0.07875978220019884,0.65,0.34,40.0
0.16,0.19,0.84,0.021279999999999997,0.030399999999999996,0.6748750000000003,9.343263833718755,12.226701163416896,12.0,0.0005963041098376009,-0.4311784692955642,11.093316509552366,15.84759501364624,0.005571426623343512,-3.409873909527544,5.242503808594971,7.489291155135672,0.07766670872611908,0.65,0.34,40.0
0.16,0.22,0.84,0.02464,0.0352,0.6748750000000003,9.343263833718755,12.226701163416896,12.0,0.0007352218183955694,-0.4311784692955642,13.677665811177995,19.539522587397137,0.006869371425576262,-3.409873909527544,6.463821260850628,9.234030372643755,0.07600583547205501,0.65,0.34,40.0
0.16,0.25,0.84,0.027999999999999997,0.04,0.6748750000000003,9.343263833718755,12.226701163416896,12.0,0.0008863480073328003,-0.4311784692955642,16.489135024797356,23.555907178281945,0.00828138328100124,-3.409873909527544,7.792471538470965,11.132102197815664,0.07377716243800661,0.65,0.34,40.0
0.16,0.28,0.84,0.03136,0.0448,0.6748750000000003,9.343263833718755,12.226701163416896,12.0,0.0010496826766492938,-0.4311784692955642,19.52772415041046,27.896748786300652,0.009807462189618445,-3.409873909527544,9.228454641455983,13.183506630651404,0.07098068962397386,0.65,0.34,40.0
0.2,0.16,0.8,0.0224,0.032,0.5588000000000005,7.908265723700007,11.24865554540631,12.125,0.0005742328715937566,-0.43124090431533413,10.681168585603054,15.258812265147217,0.004541186135846733,-3.410367662254349,4.272467434241224,6.103524906058892,0.08029707853599237,0.65,0.34,40.0
0.2,0.19,0.8,0.0266,0.038,0.5588000000000005,7.908265723700007,11.24865554540631,12.125,0.0007291762212688051,-0.43124090431533413,13.563232850757236,19.376046929653196,0.005766519317197184,-3.410367662254349,5.425293140302899,7.750418771861283,0.0790919178731069,0.65,0.34,40.0
0.2,0.22,0.8,0.030799999999999998,0.044,0.5588000000000005,7.908265723700007,11.24865554540631,12.125,0.0008990484192337126,-0.43124090431533413,16.7229850597073,23.88997865672472,0.007109913797772643,-3.410367662254349,6.6891940238829255,9.555991462689896,0.07719253735073174,0.65,0.34,40.0
0.2,0.25,0.8,0.034999999999999996,0.049999999999999996,0.5588000000000005,7.908265723700007,11.24865554540631,12.125,0.0010838494654884783,-0.43124090431533413,20.16042521245324,28.80060744636177,0.008571369577573106,-3.410367662254349,8.064170084981301,11.520242978544717,0.0745989369688669,0.65,0.34,40.0
0.2,0.28,0.8,0.0392,0.056,0.5588000000000005,7.908265723700007,11.24865554540631,12.125,0.0012835793600331031,-0.43124090431533413,23.87555330899506,34.10793329856437,0.010150886656598579,-3.410367662254349,9.55022132359803,13.643173319425758,0.07131111672751235,0.65,0.34,40.0
0.24,0.16,0.76,0.026879999999999998,0.0384,0.5226666666666672,7.46156087733334,10.926343122807989,12.0,0.0006737665693366744,-0.4320759666645272,12.508349755533173,17.869071079333104,0.00502735027421763,-3.416971557207625,4.720722162695448,6.743888803850639,0.08212912561116706,0.65,0.34,40.0
0.24,0.19,0.76,0.03192,0.0456,0.5226666666666672,7.46156087733334,10.926343122807989,12.0,0.0008555667662887316,-0.4320759666645272,15.88343625075648,22.690623215366404,0.006383863511286596,-3.416971557207625,5.994498954231576,8.563569934616538,0.0808914093731088,0.65,0.34,40.0
0.24,0.22,0.76,0.03696,0.0528,0.5226666666666672,7.46156087733334,10.926343122807989,12.0,0.0010548834785675562,-0.4320759666645272,19.58371356157794,27.976733659397063,0.00787107729382498,-3.416971557207625,7.391004604514251,10.55857800644893,0.07884071609605514,0.65,0.34,40.0
0.24,0.25,0.76,0.041999999999999996,0.06,0.5226666666666672,7.46156087733334,10.926343122807989,12.0,0.0012717167061731477,-0.4320759666645272,23.609181687997552,33.727402411425075,0.009488991621832777,-3.416971557207625,8.910239113543465,12.728913019347809,0.07597704578000612,0.65,0.34,40.0
0.24,0.28,0.76,0.04704,0.0672,0.5226666666666672,7.46156087733334,10.926343122807989,12.0,0.001506066449105508,-0.4320759666645272,27.959840630015336,39.94262947145048,0.011237606495310002,-3.416971557207625,10.552202481319238,15.074574973313196,0.07230039842496165,0.65,0.34,40.0
0.28,0.16,0.72,0.03136,0.0448,0.5908571428571433,8.304577930571433,11.52706584040982,12.0,0.0007681959748876478,-0.4329778994860728,14.231706087802772,20.3310086968611,0.006379543339405767,-3.4241042816253344,5.977963635539035,8.53994805077005,0.08422073478049308,0.65,0.34,40.0
0.28,0.19,0.72,0.03724,0.053200000000000004,0.5908571428571433,8.304577930571433,11.52706584040982,12.0,0.0009754757448973796,-0.4329778994860728,18.07180010177792,25.816857288254173,0.008100914342882508,-3.4241042816253344,7.590977720496063,10.844253886422948,0.0830204997455552,0.65,0.34,40.0
0.28,0.22,0.72,0.04312,0.0616,0.5908571428571433,8.304577930571433,11.52706584040982,12.0,0.0012027269963971001,-0.4329778994860728,22.28188857549374,31.831269393562476,0.009988140070781826,-3.4241042816253344,9.359406301229972,13.370580430328534,0.08089527856126566,0.65,0.34,40.0
0.28,0.25,0.72,0.049,0.07,0.5908571428571433,8.304577930571433,11.52706584040982,12.0,0.001449949729386809,-0.4329778994860728,26.86197150895022,38.37424501278603,0.012041220523103717,-3.4241042816253344,11.283249377740761,16.118927682486802,0.07784507122762446,0.65,0.34,40.0
0.28,0.28,0.72,0.054880000000000005,0.07840000000000001,0.5908571428571433,8.304577930571433,11.52706584040982,12.0,0.0017171439438665075,-0.4329778994860728,31.81204890214739,45.44578414592483,0.01426015569984819,-3.4241042816253344,13.362506950028436,19.089295642897767,0.07840000000000001,0.65,0.34,40.0
