flap_span_fraction,flap_chord_fraction,flap_deflection_deg,flap_end_y_m,flap_area_m2,flap_area_ratio,blown_flap_area_m2,blown_clean_area_m2,overlapping_props_count,overlapping_positive_props_count,positive_prop_overlap_fraction,positive_disk_overlap_fraction,actual_veff_mps,equivalent_reference_clmax,equivalent_vstall_mps,low_speed_lift_margin,clean_clmax_unblown,clean_clmax_blown,flapped_clmax_unblown,flapped_clmax_blown,slot_gain,prop_drop_m,prop_drop_fraction_of_chord,prop_drop_fraction_of_diameter,cambridge_clean_immersion_at_clmax,cambridge_flap_immersion_at_clmax,cambridge_clean_margin_m_at_clmax,cambridge_flap_margin_m_at_clmax,alpha_at_clmax_deg,alpha_poststall_90pct_deg,poststall_drop_5deg,overdrop_clean_severity_at_clmax,overdrop_flap_severity_at_clmax,score
0.65,0.34,40.0,0.65,0.45499999999999996,0.65,0.234696,0.1564640000000001,8,4,0.8,0.6029348604151754,14.622,5.809968664868988,4.436662351785447,-0.18715595966000087,1.4181513574676872,1.43079929656265,2.1522713191568315,2.170907791433012,1.1260000000000001,0.041999999999999996,0.12,0.3006442376521117,0.9999908378835783,0.9995319952611794,0.0406014846769262,0.026832974077440536,12.983333333333334,19.918998429846294,0.25466501513908213,0.0,0.0,4.569662351785447
0.65,0.31,40.0,0.65,0.45499999999999996,0.65,0.234696,0.1564640000000001,8,4,0.8,0.6029348604151754,14.622,5.790266943689071,4.444203943338511,-0.18991233023087328,1.4181513574676872,1.43079929656265,2.1003547360675303,2.113007941976921,1.11925,0.041999999999999996,0.12,0.3006442376521117,0.9999908378835783,0.9996692011875964,0.0406014846769262,0.028047842659748093,12.983333333333334,20.06992159239268,0.2470934832846643,0.0,0.0,4.577203943338511
0.65,0.28,40.0,0.65,0.45499999999999996,0.65,0.234696,0.1564640000000001,8,4,0.8,0.6029348604151754,14.622,5.767775434721082,4.4528606254316845,-0.1930590062419557,1.4181513574676872,1.43079929656265,2.042070522682491,2.0485315053271775,1.1125,0.041999999999999996,0.12,0.3006442376521117,0.9999908378835783,0.9997661915754317,0.0406014846769262,0.02926271124205565,12.983333333333334,20.202013484527363,0.23916703538339412,0.0,0.0,4.5858606254316845
0.65,0.25,40.0,0.65,0.45499999999999996,0.65,0.234696,0.1564640000000001,8,4,0.8,0.6029348604151754,14.622,5.741750901431573,4.462940530276515,-0.19669997024833974,1.4181513574676872,1.43079929656265,1.9761481458575565,1.9769987493700114,1.10575,0.041999999999999996,0.12,0.3006442376521117,0.9999908378835783,0.9998347490308406,0.0406014846769262,0.030477579824363207,12.983333333333334,20.340867307903547,0.23057425066299775,0.0,0.0,4.595940530276515
0.65,0.22,40.0,0.65,0.45499999999999996,0.65,0.234696,0.1564640000000001,8,4,0.8,0.6029348604151754,14.622,5.711482839784553,4.474750603513588,-0.2009346253629518,1.4181513574676872,1.43079929656265,1.9014693005131122,1.896598748200874,1.0990000000000002,0.041999999999999996,0.12,0.3006442376521117,0.9999880593364818,0.9998477919503124,0.03967442128922444,0.030765385018969,13.266666666666666,20.47050477080871,0.2521195276452257,0.0,0.0,4.607750603513588
0.6,0.34,40.0,0.6,0.42,0.6,0.234696,0.1564640000000001,6,3,0.6,0.5807444523979958,14.622,5.773388781705689,4.450695386669314,-0.19227367057045908,1.4181513574676872,1.43079929656265,2.1522713191568315,2.170907791433012,1.1260000000000001,0.041999999999999996,0.12,0.3006442376521117,0.9999929720018141,0.9996409685404949,0.04152960566207878,0.02776109506259311,12.7,19.945579856838584,0.22925960385105704,0.0,0.0,5.374695386669314
0.6,0.31,40.0,0.6,0.42,0.6,0.234696,0.1564640000000001,6,3,0.6,0.5807444523979958,14.622,5.756243003267727,4.45731896874684,-0.19467245180736303,1.4181513574676872,1.43079929656265,2.1003547360675303,2.113007941976921,1.11925,0.041999999999999996,0.12,0.3006442376521117,0.9999929720018141,0.9997462346541639,0.04152960566207878,0.028975963644900668,12.7,20.096741694086067,0.22326236125632537,0.0,0.0,5.3813189687468395
0.6,0.28,40.0,0.6,0.42,0.6,0.234696,0.1564640000000001,6,3,0.6,0.5807444523979958,14.622,5.736614935883787,4.464937908606404,-0.19741851783916453,1.4181513574676872,1.43079929656265,2.042070522682491,2.0485315053271775,1.1125,0.041999999999999996,0.12,0.3006442376521117,0.9999929720018141,0.9998206428409542,0.04152960566207878,0.030190832227208225,12.7,20.23243847316801,0.21690362459534285,0.0,0.0,5.388937908606405
0.6,0.25,40.0,0.6,0.42,0.6,0.234696,0.1564640000000001,6,3,0.6,0.5807444523979958,14.622,5.713813544668495,4.473837869245127,-0.20060854794601857,1.4181513574676872,1.43079929656265,1.9761481458575565,1.9769987493700114,1.10575,0.041999999999999996,0.12,0.3006442376521117,0.9999929720018141,0.9998732360859653,0.04152960566207878,0.03140570080951578,12.7,20.36971330714074,0.20993516375369303,0.0,0.0,5.3978378692451265
0.6,0.22,40.0,0.6,0.42,0.6,0.234696,0.1564640000000001,6,3,0.6,0.5807444523979958,14.622,5.687044949132547,4.484354557985798,-0.2043536100289236,1.4181513574676872,1.43079929656265,1.9014693005131122,1.896598748200874,1.0990000000000002,0.041999999999999996,0.12,0.3006442376521117,0.9999908378835783,0.999883206373827,0.0406014846769262,0.031692448406670765,12.983333333333334,20.49752754169497,0.230603104979072,0.0,0.0,5.408354557985797
