scenario,scenario_label,prop_drop_fraction_of_chord,prop_drop_fraction_of_diameter,prop_drop_m,alpha_deg,cl_total,cd_total,cm_total
clean_blowing,Clean blown wing,0.0,0.0,0.0,-6.0,-1.4523279130825737,0.368020364611896,-0.7509366633221128
clean_blowing,Clean blown wing,0.0,0.0,0.0,-5.716666666666667,-1.2671658712881306,0.3267779186924506,-0.7910681288700928
clean_blowing,Clean blown wing,0.0,0.0,0.0,-5.433333333333334,-1.099262648132231,0.2857794123539725,-0.8262203293035434
clean_blowing,Clean blown wing,0.0,0.0,0.0,-5.15,-0.8874386512907932,0.24094500933660806,-0.8607028511491761
clean_blowing,Clean blown wing,0.0,0.0,0.0,-4.866666666666667,-0.5913930669484757,0.19411029066673582,-0.8801622480360026
clean_blowing,Clean blown wing,0.0,0.0,0.0,-4.583333333333334,-0.31991264323756075,0.16115492592352657,-0.8855267388456156
clean_blowing,Clean blown wing,0.0,0.0,0.0,-4.3,-0.06744325152273356,0.14473258774821793,-0.8836571756793589
clean_blowing,Clean blown wing,0.0,0.0,0.0,-4.016666666666667,0.18438964868045296,0.13344554733319736,-0.8798575889378887
clean_blowing,Clean blown wing,0.0,0.0,0.0,-3.7333333333333334,0.4393356005282575,0.12353811746832054,-0.8754723011961475
clean_blowing,Clean blown wing,0.0,0.0,0.0,-3.45,0.6947792411827984,0.11500671570019509,-0.8700623283135749
clean_blowing,Clean blown wing,0.0,0.0,0.0,-3.166666666666667,0.9484173589610025,0.10825281558939741,-0.8635955530962294
clean_blowing,Clean blown wing,0.0,0.0,0.0,-2.8833333333333333,1.1997616047689053,0.10274545195561717,-0.8562906960102682
clean_blowing,Clean blown wing,0.0,0.0,0.0,-2.6,1.4479621311527149,0.0978412392207217,-0.8487774103308264
clean_blowing,Clean blown wing,0.0,0.0,0.0,-2.316666666666667,1.69248208399257,0.0933686867943137,-0.8419420368745096
clean_blowing,Clean blown wing,0.0,0.0,0.0,-2.033333333333333,1.9312102052081268,0.089167489400347,-0.836787833448061
clean_blowing,Clean blown wing,0.0,0.0,0.0,-1.75,2.1584784898080835,0.0845697283978858,-0.8328660408412709
clean_blowing,Clean blown wing,0.0,0.0,0.0,-1.4666666666666668,2.3719641423510924,0.07825082108401397,-0.8245373943074435
clean_blowing,Clean blown wing,0.0,0.0,0.0,-1.1833333333333336,2.5818482529673488,0.0699708867693375,-0.80498280195374
clean_blowing,Clean blown wing,0.0,0.0,0.0,-0.9000000000000004,2.7799281084575025,0.06437730651672018,-0.7839290190012727
